Customer ID#,Account No.,Currency,Type,Balance
ID1,BOS963211,USD,SAVINGS,962510
ID2,BOS85992,AUD,CURRENT,989898
ID3,BOS656613,USD,CURRENT,595290

ID887,BOS15166887,EUR,SAVINGS,887337
ID888,BOS57360888,SEK,SAVINGS,767550
ID889,BOS31250889,EUR,SAVINGS,424585
ID890,BOS4205890,EUR,CURRENT,123765
ID891,BOS58304891,USD,SAVINGS,288952
ID892,BOS90266892,SEK,CURRENT,417382
ID893,BOS86543893,HKD,CURRENT,812014
ID894,BOS69338894,EUR,CURRENT,913321
ID895,BOS5829895,INR,SAVINGS,35148
ID896,BOS4510896,SGD,CURRENT,725939
ID897,BOS87574897,CAD,CURRENT,395174
ID898,BOS88998898,GBP,SAVINGS,848260
ID899,BOS73922899,SEK,CURRENT,955762
ID900,BOS31810900,SGD,CURRENT,822201
ID901,BOS86350901,GBP,SAVINGS,749216
ID902,BOS91666902,CHF,CURRENT,670246
ID903,BOS13788903,SGD,SAVINGS,546349
ID904,BOS7048904,EUR,CURRENT,512964
ID905,BOS61405905,SEK,SAVINGS,128643
ID906,BOS82938906,INR,CURRENT,84910
ID907,BOS28631907,EUR,SAVINGS,668662
ID908,BOS18937908,SEK,CURRENT,882621
ID909,BOS84364909,HKD,CURRENT,819174
ID910,BOS54943910,AUD,SAVINGS,124862
ID911,BOS17320911,SGD,CURRENT,703068
ID912,BOS59927912,USD,CURRENT,195407
ID913,BOS88538913,USD,SAVINGS,128379
ID914,BOS60684914,HKD,SAVINGS,246063
ID915,BOS17280915,SGD,SAVINGS,890530
ID916,BOS14899916,EUR,SAVINGS,722752
ID917,BOS4275917,SEK,SAVINGS,998420
ID918,BOS41611918,USD,SAVINGS,711932
ID919,BOS32237919,AUD,SAVINGS,53968
ID920,BOS47361920,CAD,SAVINGS,120144
ID921,BOS20836921,SEK,CURRENT,187228
ID922,BOS31863922,INR,CURRENT,633557
ID923,BOS90917923,EUR,SAVINGS,967336
ID924,BOS52622924,CHF,CURRENT,259971
ID925,BOS9801925,AUD,CURRENT,444231
ID926,BOS57576926,SEK,CURRENT,925005
ID927,BOS50610927,EUR,CURRENT,235070
ID928,BOS50597928,INR,SAVINGS,77082
ID929,BOS40547929,SGD,SAVINGS,712861
ID930,BOS58098930,INR,CURRENT,339262
ID931,BOS73778931,AUD,CURRENT,143180
ID932,BOS83705932,GBP,CURRENT,456309
ID933,BOS32613933,SGD,CURRENT,632424
ID934,BOS81731934,USD,CURRENT,119682
ID935,BOS62741935,CHF,SAVINGS,245973
ID936,BOS51438936,SEK,SAVINGS,578859
ID937,BOS9022937,AUD,SAVINGS,260973
ID938,BOS33031938,SGD,SAVINGS,841242
ID939,BOS34165939,EUR,CURRENT,368817
ID940,BOS96931940,SGD,CURRENT,828765
ID941,BOS33515941,SGD,CURRENT,468626
ID942,BOS75591942,AUD,CURRENT,258288
ID943,BOS80738943,AUD,SAVINGS,502104
ID944,BOS28252944,AUD,CURRENT,8208
ID945,BOS21182945,EUR,SAVINGS,130964
ID946,BOS91696946,GBP,CURRENT,22179
ID947,BOS70808947,HKD,CURRENT,468236
ID948,BOS82732948,USD,CURRENT,566975
ID949,BOS27984949,INR,CURRENT,65999
ID950,BOS23086950,SGD,CURRENT,124843
ID951,BOS75888951,INR,SAVINGS,426755
ID952,BOS61259952,SEK,SAVINGS,254494
ID953,BOS46428953,INR,SAVINGS,214154
ID954,BOS94891954,SGD,SAVINGS,886650
ID955,BOS69824955,USD,SAVINGS,760603
ID956,BOS84113956,SGD,SAVINGS,568777
ID957,BOS32641957,CHF,CURRENT,48868
ID958,BOS79350958,GBP,CURRENT,349909
ID959,BOS36015959,USD,CURRENT,216449
ID960,BOS36448960,USD,CURRENT,485732
ID961,BOS19265961,CHF,CURRENT,869637
ID962,BOS45030962,AUD,CURRENT,508531
ID963,BOS34487963,USD,CURRENT,85762
ID964,BOS14846964,AUD,SAVINGS,20658
ID965,BOS59607965,SEK,SAVINGS,961231
ID966,BOS66362966,SEK,SAVINGS,267485
ID967,BOS14622967,SEK,SAVINGS,776696
ID968,BOS24422968,AUD,CURRENT,161586
ID969,BOS99506969,USD,SAVINGS,911462
ID970,BOS7977970,SGD,CURRENT,756375
ID971,BOS56138971,AUD,CURRENT,391902
ID972,BOS94285972,AUD,CURRENT,405951
ID973,BOS92605973,USD,SAVINGS,533487
ID974,BOS26531974,HKD,CURRENT,611572
ID975,BOS24468975,GBP,CURRENT,259187
ID976,BOS44074976,EUR,CURRENT,875747
ID977,BOS50725977,INR,CURRENT,52456
ID978,BOS19167978,USD,SAVINGS,243151
ID979,BOS46096979,EUR,SAVINGS,195359
ID980,BOS55173980,EUR,CURRENT,508945
ID981,BOS32403981,CHF,CURRENT,646294
ID982,BOS39827982,AUD,CURRENT,608287
ID983,BOS51352983,CHF,CURRENT,1779
ID984,BOS8574984,HKD,CURRENT,768494
ID985,BOS31781985,CAD,CURRENT,794446
ID986,BOS63347986,SEK,SAVINGS,742532
ID987,BOS99362987,EUR,CURRENT,244204
ID988,BOS26121988,GBP,CURRENT,391144
ID989,BOS70201989,GBP,CURRENT,40122
ID990,BOS13647990,USD,SAVINGS,914172
ID991,BOS25905991,HKD,CURRENT,466547
ID992,BOS33345992,INR,SAVINGS,898133
ID993,BOS96199993,EUR,CURRENT,876820
ID994,BOS78798994,EUR,CURRENT,478446
ID995,BOS77060995,SGD,CURRENT,493488
ID996,BOS44757996,EUR,SAVINGS,554594
ID997,BOS41306997,SGD,CURRENT,861687
ID998,BOS95689998,INR,SAVINGS,366251
ID999,BOS30305999,USD,SAVINGS,643263
ID1000,BOS25901000,GBP,SAVINGS,349082
